dbh_18. Which best describes your driving behavior most of the time in terms of speed while driving on: THE HIGHWAY,dbh_20. Which best describes your lane changing behavior when driving on: THE HIGHWAY ,dbh_22. How would you describe the way you accelerate and decelerate while driving on: THE HIGHWAY,dbh_23. How often do you pass other vehicles when driving on: THE HIGHWAY,dbh_25. Which best describes your braking behavior when driving on: THE HIGHWAY
0.0,0.0,0.5,0.25,0.5
0.0,0.0,0.5,0.0,0.5
0.5,0.0,1.0,0.0,0.5
0.5,0.0,0.5,0.25,0.5
0.5,0.0,0.0,0.25,0.5
1.0,1.0,0.5,0.75,0.0
0.5,0.0,0.5,0.0,0.5
0.5,0.0,0.0,0.25,0.5
0.5,0.5,1.0,0.25,0.0
0.0,0.0,0.0,0.0,0.5
0.5,0.5,0.5,0.25,0.5
1.0,0.0,1.0,0.75,1.0
0.5,0.0,0.0,0.0,0.0
0.0,0.5,0.5,0.25,0.0
1.0,0.5,0.5,0.25,0.0
1.0,0.5,0.5,0.0,0.0
0.0,1.0,1.0,1.0,0.0
0.5,0.5,0.5,0.25,0.0
0.5,0.5,0.5,0.25,0.0
0.0,0.5,0.0,0.75,0.0
0.5,0.5,0.5,0.75,0.0
1.0,1.0,1.0,0.75,1.0
0.5,0.5,0.5,0.0,0.5
1.0,0.5,0.5,0.75,0.5
0.5,0.5,0.5,0.75,0.5
0.5,0.5,0.0,0.25,0.5
1.0,0.5,0.5,0.25,0.5
1.0,0.0,0.0,0.75,0.0
1.0,0.5,0.5,0.25,0.5
0.5,0.5,0.0,0.25,0.5
1.0,0.5,0.5,0.25,0.5
0.5,1.0,0.5,1.0,0.0
0.5,0.0,0.5,0.0,0.0
1.0,0.0,0.5,0.25,0.5
1.0,0.5,0.5,0.25,0.5
1.0,0.5,0.5,0.75,0.5
1.0,0.5,0.5,0.75,0.5
1.0,0.5,0.5,0.25,0.5
1.0,0.5,0.5,0.25,0.5
0.0,0.5,0.0,0.75,0.5
0.0,0.0,0.0,0.0,0.5
0.5,0.5,1.0,0.25,0.5
0.0,0.0,0.0,0.75,0.0
0.5,0.5,0.5,0.0,0.0
0.5,0.0,0.0,0.25,0.5
1.0,0.5,0.5,0.75,0.0
1.0,0.5,1.0,0.75,0.0
0.5,0.5,0.0,0.25,0.5
1.0,1.0,0.5,0.25,0.0
1.0,0.0,0.5,0.25,0.5
