"aih_53. Wenn Sie in einem selbstfahrenden Auto unterwegs sind und das Auto die Kontrolle über die Geschwindigkeit hat, mit welcher Bereichsgeschwindigkeit würden Sie sich beim Fahren am wohlsten fühlen: AUTOBAHNSTRASSEN","aih_54. Wenn Sie in einem selbstfahrenden Auto auf AUTOBAHNEN unterwegs sind, erwarten Sie, dass das Auto die Spur wechselt:","aih_55. Wenn Sie in einem selbstfahrenden Auto auf Autobahnen unterwegs sind, bevorzugen Sie die Art und Weise, wie es beschleunigt und verzögert, wie folgt:","aih_56. Wenn Sie in einem selbstfahrenden Auto unterwegs sind, wie oft würden Sie erwarten, dass das Auto andere Fahrzeuge überholt, wenn Sie auf: AUTOBAHNSTRASSEN fahren","aih_57. Wenn Sie in einem selbstfahrenden Auto unterwegs sind, wie oft möchten Sie, dass das Auto beim Fahren auf Autobahnen bremst"
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.0,0.5,0.5,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0
0.0,0.5,0.5,0.5,0.5
0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.0,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5
1.0,1.0,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.0,0.5,0.0,0.5
0.5,1.0,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
1.0,0.0,1.0,0.5,1.0
0.5,0.5,0.5,0.5,0.5
0.5,0.0,0.5,0.0,0.0
0.5,0.0,0.0,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.5,1.0,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.0,0.5,0.0,0.5
0.0,0.0,0.5,0.5,0.5
0.0,0.0,0.0,0.5,0.5
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.0,0.5,0.5
0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.5
0.0,0.0,0.5,1.0,0.0
0.5,0.0,0.5,0.5,0.0
0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.5,1.0,0.5,1.0,0.5
0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.0,0.5,0.0
0.5,0.5,0.5,0.5,0.0
0.0,0.5,0.5,0.0,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.0,0.5,0.5
0.0,0.0,0.5,0.0,0.5
0.5,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.0
0.5,0.0,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
