dbnh_10. Was Ihr Fahrverhalten in Bezug auf die Geschwindigkeit während der Fahrt am besten beschreibt: NICHT-AUTOBAHNSTRASSEN,dbnh_12. Was Ihr Spurwechselverhalten beim Weiterfahren am besten beschreibt: NICHT-AUTOBAHNSTRASSEN,"dbnh_14. Wie würden Sie die Art und Weise beschreiben, wie Sie während der Fahrt beschleunigen und abbremsen: NICHT-AUTOBAHNSTRASSEN",dbnh_15. Wie oft überholen Sie andere Fahrzeuge beim Fahren auf: NICHT-AUTOBAHNSTRASSEN,dbnh_17. Was Ihr Bremsverhalten beim Weiterfahren am besten beschreibt: NICHT-AUTOBAHNSTRASSEN
1.0,0.5,0.0,0.0,0.5
0.5,0.0,0.5,0.25,0.5
0.5,1.0,0.5,0.75,0.5
0.5,0.5,0.0,0.0,0.5
0.5,0.5,0.5,0.25,1.0
0.5,0.5,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.5
0.5,0.0,0.5,0.0,0.5
0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.25,0.5
0.5,0.0,0.5,0.0,0.0
0.5,0.5,0.5,0.25,0.5
0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.25,0.0
1.0,0.5,0.5,0.25,0.0
0.5,0.5,0.5,0.25,0.5
0.5,0.5,0.5,0.25,0.0
0.5,0.5,0.5,0.0,0.5
0.5,0.5,0.5,0.25,0.5
0.5,0.5,0.5,0.25,0.5
0.0,0.0,1.0,0.75,1.0
1.0,0.5,0.5,0.25,0.5
0.5,0.5,0.0,0.0,0.5
0.5,0.5,0.5,0.25,0.5
1.0,0.5,1.0,0.25,0.5
0.5,0.5,0.5,0.75,0.5
0.5,0.5,0.5,0.25,0.5
0.5,0.5,0.0,0.25,0.5
0.5,0.5,0.5,0.25,0.0
0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.25,0.0
1.0,0.0,0.5,0.0,0.5
0.5,0.0,0.0,0.0,1.0
0.5,1.0,0.0,0.75,0.0
1.0,1.0,0.5,0.25,0.0
0.5,0.0,0.5,0.25,0.5
0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.0,0.25,0.5
0.5,0.5,0.5,0.25,0.5
0.5,0.5,0.5,0.25,0.5
0.5,0.5,0.5,0.25,0.5
0.5,1.0,0.5,0.75,0.5
0.5,0.0,0.0,0.0,1.0
0.5,0.0,0.5,0.0,1.0
0.5,0.0,0.5,0.25,0.5
0.5,0.0,0.5,0.0,1.0
0.5,0.5,0.5,0.0,0.5
0.5,0.5,0.0,0.25,0.5
0.5,0.0,0.5,0.25,0.5
0.5,0.5,0.5,0.25,0.5
0.5,1.0,0.5,0.25,0.0
0.5,0.5,0.5,0.75,0.5
0.5,0.5,0.5,0.25,0.5
0.5,0.5,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.5
0.5,0.5,1.0,0.25,1.0
1.0,1.0,0.5,0.0,0.0
0.5,0.5,0.5,0.25,0.5
1.0,0.5,0.5,0.0,1.0
0.5,0.5,0.5,0.25,0.5
0.5,0.5,0.5,0.75,0.5
0.5,0.5,0.0,0.0,0.5
0.5,0.5,0.5,0.25,0.5
0.5,0.0,0.5,0.25,1.0
0.5,0.5,0.5,0.0,1.0
0.5,0.0,0.5,0.25,0.5
