dbh_18. ¿Cuál describe mejor su comportamiento de conducción la mayor parte del tiempo en términos de velocidad mientras conduce en: LA AUTOPISTA,dbh_20. Cuál describe mejor su comportamiento de cambio de carril cuando conduce en: LA AUTOPISTA,dbh_22. ¿Cómo describiría la forma en que acelera y desacelera mientras conduce en: LA AUTOPISTA,dbh_23. ¿Con qué frecuencia adelanta a otros vehículos cuando conduce en: LA AUTOPISTA,dbh_25. Cuál describe mejor su comportamiento de frenado cuando conduce en: LA AUTOPISTA
0.5,0.0,0.0,0.0,1.0
0.5,0.0,0.5,0.0,0.0
0.5,0.0,0.0,0.0,1.0
0.5,0.5,0.5,0.25,0.5
0.0,0.5,0.5,0.25,0.5
0.5,0.0,0.5,0.75,0.0
0.0,0.0,0.5,0.0,0.0
0.5,0.5,0.5,0.25,0.5
0.5,0.5,0.5,0.75,0.0
1.0,1.0,0.5,0.75,0.0
0.5,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,1.0
0.5,0.0,0.5,0.0,0.5
0.5,0.0,0.5,0.75,0.5
0.0,0.0,0.0,0.0,0.5
0.5,1.0,0.0,0.25,0.5
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.5,0.25,0.5
0.5,0.5,0.0,0.25,0.5
0.5,0.0,0.5,0.0,0.5
0.5,0.5,0.5,0.0,0.5
0.5,0.0,0.0,0.25,0.5
0.5,0.5,0.0,0.75,0.5
0.5,0.5,0.5,0.25,0.0
0.0,0.5,0.5,0.25,1.0
0.5,0.0,0.0,0.0,0.5
0.5,0.0,0.0,0.0,1.0
1.0,0.5,0.5,0.0,0.5
0.5,0.5,0.5,0.25,0.0
0.5,0.5,0.5,0.25,0.0
0.0,0.0,0.0,0.25,0.0
0.0,0.0,0.0,0.0,0.5
0.5,0.5,0.5,0.75,1.0
0.0,0.5,0.5,0.25,0.5
0.0,0.0,0.5,0.25,0.0
0.0,0.5,0.5,0.0,0.0
1.0,0.0,0.0,0.25,0.5
0.0,0.0,0.0,0.25,0.5
0.0,0.5,0.5,0.25,0.0
0.5,0.5,0.5,0.25,0.0
1.0,0.0,0.5,0.25,0.5
