dbnh_10. ¿Cuál describe mejor su comportamiento de conducción la mayor parte del tiempo en términos de velocidad mientras conduce en: CARRETERAS NO AUTOPISTAS,dbnh_12. Cuál describe mejor su comportamiento de cambio de carril cuando conduce en: CARRETERAS NO AUTOPISTAS,dbnh_14. ¿Cómo describiría la forma en que acelera y desacelera mientras conduce en: CARRETERAS QUE NO SON AUTOPISTAS?,dbnh_15. ¿Con qué frecuencia adelanta a otros vehículos cuando conduce en: CARRETERAS QUE NO SON AUTOPISTAS?,dbnh_17. Cuál describe mejor su comportamiento de frenado cuando conduce en: CARRETERAS QUE NO SON AUTOPISTAS?
1.0,0.0,0.5,0.75,1.0
1.0,0.0,0.5,0.0,0.5
1.0,1.0,0.0,0.25,1.0
1.0,0.0,0.0,0.25,0.0
0.0,0.5,0.5,0.25,0.5
1.0,0.5,0.5,0.0,0.5
0.0,0.0,0.5,0.0,1.0
1.0,0.5,0.5,0.25,0.5
1.0,0.5,0.5,0.75,0.0
1.0,0.5,0.5,0.75,0.0
1.0,0.0,0.5,0.0,0.5
0.0,0.0,0.0,0.0,1.0
0.5,0.5,0.5,0.0,1.0
1.0,0.0,0.5,0.75,0.5
1.0,0.0,0.0,0.0,0.5
1.0,0.5,0.0,0.0,0.5
1.0,1.0,0.5,0.25,0.5
1.0,0.5,0.5,0.75,0.0
1.0,1.0,0.0,0.25,0.5
1.0,0.0,0.5,0.0,0.5
1.0,0.5,0.5,0.0,0.0
1.0,0.5,0.5,0.0,0.5
1.0,0.5,0.0,0.75,0.5
1.0,1.0,1.0,0.25,0.5
0.0,0.5,0.5,0.25,1.0
1.0,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.5
0.5,0.5,0.5,0.75,1.0
1.0,0.0,0.5,0.75,0.5
1.0,0.5,0.5,0.25,0.5
0.0,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.5
1.0,1.0,0.5,0.75,1.0
0.0,0.5,0.5,0.25,0.5
1.0,0.5,0.5,0.0,0.0
1.0,0.5,0.0,0.25,0.0
0.5,0.0,0.0,0.0,0.5
1.0,0.5,0.0,0.25,0.0
0.0,0.0,0.5,0.25,1.0
1.0,0.5,0.5,0.25,0.5
0.5,1.0,0.0,0.75,0.5
