"dbg_27. Necesita cambiar su carril para llegar a la autopista, pero el lugar al que deseaba mudarse no es lo suficientemente grande. ¿A qué te dedicas?",dbg_28. ¿Qué describe mejor su comportamiento de conducción al dar una vuelta?,dbg_29. ¿Qué describe mejor su comportamiento de conducción cuando conduce en una carretera sinuosa?,dbg_30. ¿Qué tipo de estacionamiento le resulta más desafiante?,dbg_31. ¿En qué situación meteorológica menos que perfecta conduce con más frecuencia?,"dbg_32. Al conducir en condiciones climáticas menos que perfectas, ¿qué sucede con su velocidad?","dbg_33. Al conducir en condiciones climáticas menos que perfectas, ¿qué sucede con su comportamiento de señalización?",dbg_34. ¿Cómo describiría su comportamiento de cambio de carril cuando conduce en condiciones climáticas menos que perfectas?,"dbg_35. Cuando conduce en condiciones climáticas menos que perfectas, ¿qué distancia prefiere mantener del automóvil que tiene delante?",dbg_36. ¿Cuál describe mejor su comportamiento de conducción la mayor parte del tiempo en términos de velocidad mientras conduce de noche?,dbg_37. Cuál describe mejor su comportamiento la mayor parte del tiempo cuando se trata de señalar cambios de carril mientras conduce de noche:,dbg_38. ¿Cuál describe mejor su comportamiento de cambio de carril cuando conduce de noche?
0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.5,0.0,0.0
0,1.0,0.0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
0,0.0,0.0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,1.0
1,0.25,0.5,0,0,0.5,0.0,0.5,1.0,0.0,0.25,0.5
0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
0,0.0,0.5,0,0,0.0,0.0,0.0,1.0,0.5,0.25,0.5
0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.0,0.5,0,0,0.5,0.0,0.0,1.0,0.5,0.0,0.0
0,0.25,0.5,0,0,0.5,0.0,0.0,0.5,0.5,0.0,0.5
0,1.0,0.0,0,0,0.0,0.0,0.5,1.0,0.5,0.25,0.0
0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,0.25,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.0,0.5,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
0,0.0,0.0,0,0,0.0,1.0,0.0,0.5,0.5,0.0,0.5
0,0.0,0.0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
0,0.0,0.5,0,0,0.5,0.0,0.0,1.0,0.5,0.0,0.0
0,0.0,0.5,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
0,0.0,0.0,0,0,0.5,0.0,0.0,1.0,0.5,0.0,0.5
0,0.0,0.0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
0,0.0,0.0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
0,0.25,0.0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
0,0.0,0.0,0,0,0.5,0.0,0.0,1.0,0.5,0.0,0.0
0,0.0,0.0,0,0,0.5,0.0,0.0,1.0,0.5,0.0,0.5
1,0.25,0.0,0,0,0.5,0.5,0.0,0.5,1.0,0.0,0.0
0,0.0,0.0,0,0,0.0,0.0,0.0,0.5,0.0,0.25,0.0
0,0.0,0.0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
0,0.0,0.5,0,0,0.0,0.0,0.0,1.0,0.5,0.0,0.0
0,0.25,0.5,0,0,0.0,0.0,0.0,1.0,0.5,0.25,0.5
0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.25,0.5,0,0,0.5,0.0,0.5,1.0,0.5,0.25,0.5
0,0.0,0.0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
0,0.0,0.0,0,0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
0,0.25,0.0,0,0,0.0,0.0,0.5,0.5,0.5,0.25,0.5
0,0.0,0.5,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
0,0.0,0.0,0,0,0.0,0.0,0.5,0.5,0.5,0.0,0.5
0,0.25,0.0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,1.0
0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.25,0.5,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
0,1.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.25,0.0
0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.0,0.0,0,0,0.5,0.5,0.0,1.0,0.5,0.0,0.0
